cod_mpio,Municipio,Distancia,Tiempo de viaje,Tiempo de viaje en mins
25001,Agua de Dios,121 km,2 hours 57 mins,177
25019,Albán,59.6 km,1 hour 41 mins,101
25035,Anapoima,86.9 km,2 hours 12 mins,132
25040,Anolaima,72.3 km,2 hours 4 mins,124
25053,Arbeláez,83.6 km,2 hours 46 mins,166
25086,Beltrán,159 km,3 hours 52 mins,232
25099,Bituima,84.7 km,2 hours 19 mins,139
25120,Bojacá,41.3 km,1 hour 25 mins,85
25123,Cabrera,141 km,4 hours 26 mins,266
25126,Cachipay,68.1 km,2 hours 2 mins,122
25148,Cajicá,46.8 km,1 hour 8 mins,68
25151,Caparrapí,152 km,4 hours 26 mins,266
25154,Cáqueza,51.4 km,1 hour 43 mins,103
25168,Carmen de Carupa,108 km,2 hours 39 mins,159
25175,Chaguaní,110 km,3 hours 10 mins,190
25178,Chía,34.7 km,56 mins,56
25181,Chipaque,39.9 km,1 hour 34 mins,94
25183,Choachí,41.7 km,1 hour 18 mins,78
25185,Chocontá,85.9 km,1 hour 36 mins,96
25200,Cogua,68.5 km,1 hour 33 mins,93
25214,Cota,29.7 km,1 hour 0 mins,60
25224,Cucunubá,106 km,2 hours 37 mins,157
25245,El Colegio,58.8 km,1 hour 57 mins,117
25258,El Peñón,122 km,3 hours 20 mins,200
25260,El Rosal,48.6 km,1 hour 27 mins,87
25269,Facatativá,42.8 km,1 hour 16 mins,76
25279,Fómeque,57.3 km,1 hour 54 mins,114
25281,Fosca,67.6 km,2 hours 18 mins,138
25286,Funza,22.6 km,57 mins,57
25288,Fúquene,108 km,2 hours 27 mins,147
25290,Fusagasugá,63.1 km,2 hours 6 mins,126
25293,Gachalá,148 km,4 hours 16 mins,256
25295,Gachancipá,56.6 km,1 hour 12 mins,72
25297,Gachetá,113 km,3 hours 16 mins,196
25299,Gama,119 km,3 hours 18 mins,198
25307,Girardot,139 km,3 hours 15 mins,195
25312,Granada,39.4 km,1 hour 20 mins,80
25317,Guachetá,115 km,2 hours 57 mins,177
25320,Guaduas,130 km,3 hours 13 mins,193
25322,Guasca,61.1 km,1 hour 52 mins,112
25324,Guataquí,142 km,3 hours 40 mins,220
25326,Guatavita,93.0 km,2 hours 2 mins,122
25328,Guayabal de Síquima,70.6 km,1 hour 58 mins,118
