dp,cod_mpio,mpio,año,analfabetismo_,bajo_logro_educativo,barreras_primera_infancia,barreras_salud,dependencia_económica,hacinamiento,inadecuada_elim_excretas,inasistencia_escolar,paredes_inadecuadas,pisos_inadecuados,rezago_escolar,sin_acceso_agua_mejorada,sin_salud,trabajo_infantil,empleo_informal
11,11001,BOGOTA,2018,2.8,26.2,1.8,4.3,18.9,5.6,0.7,1.9,0.3,0.3,11.5,0.5,18.7,0.5,69.1
25,25001,AGUA DE DIOS,2018,9.6,55.7,0.9,1.2,33.2,7.8,3.4,1.8,1.2,2.6,9.2,3.9,12.0,0.4,80.2
25,25019,ALBAN,2018,9.8,65.0,0.9,9.5,29.0,4.6,5.7,2.1,1.9,2.5,16.5,16.8,13.3,0.6,79.5
25,25035,ANAPOIMA,2018,9.2,58.9,1.4,4.2,21.9,7.9,6.6,2.1,5.4,4.5,14.5,23.2,13.6,1.2,77.3
25,25040,ANOLAIMA,2018,14.1,67.9,1.5,3.1,27.3,5.3,8.9,2.0,3.3,5.7,11.9,12.1,12.2,0.9,85.6
25,25053,ARBELAEZ,2018,8.2,60.1,1.3,1.8,25.7,6.2,4.4,3.6,1.9,5.6,16.0,11.4,12.0,1.5,84.0
25,25086,BELTRAN,2018,18.9,74.8,0.6,1.5,48.1,6.7,7.9,1.7,0.9,4.4,17.1,20.0,12.5,0.8,78.9
25,25095,BITUIMA,2018,16.9,78.4,0.7,0.2,26.4,3.7,9.5,2.7,1.1,8.1,13.5,27.8,12.6,1.3,86.1
25,25099,BOJACA,2018,7.3,52.7,1.8,9.0,20.9,8.8,1.5,2.5,0.9,0.8,18.4,5.4,16.2,1.1,70.0
25,25120,CABRERA,2018,11.7,72.1,1.0,4.5,28.6,7.6,8.9,3.2,1.4,2.8,16.1,61.3,13.0,4.5,93.1
25,25123,CACHIPAY,2018,12.0,63.7,1.1,4.6,24.5,5.0,6.1,2.0,4.6,3.8,12.3,9.3,13.3,1.6,84.6
25,25126,CAJICA,2018,2.6,24.7,2.0,3.9,16.9,4.1,0.6,2.5,0.3,0.2,15.6,0.3,14.3,0.8,67.2
