DP,DPNOM,DPMP,MPIO,AÑO,area,Niños_M,Jóvenes_M,Adultos_M,Adultos mayores_M,Niñas,Jóvenes_F,Adultos_F,Adultos mayores_F,Total_Hombres,Total_Mujeres,Total_General
11,"Bogotá, D.C.","Bogotá, D.C.",11001,2005,urbano,979683,888661,1141809,217987,931873,918089,1328405,288187,3228140,3466554,6694694
11,"Bogotá, D.C.","Bogotá, D.C.",11001,2005,rural,3370,2021,2471,475,3151,1905,2408,415,8337,7879,16216
11,"Bogotá, D.C.","Bogotá, D.C.",11001,2005,total,983053,890682,1144280,218462,935024,919994,1330813,288602,3236477,3474433,6710910
11,"Bogotá, D.C.","Bogotá, D.C.",11001,2018,urbano,730639,984097,1418534,398104,703354,989774,1616909,545989,3531374,3856026,7387400
11,"Bogotá, D.C.","Bogotá, D.C.",11001,2018,rural,3690,3224,4519,1271,3649,3115,4495,1203,12704,12462,25166
11,"Bogotá, D.C.","Bogotá, D.C.",11001,2018,total,734329,987321,1423053,399375,707003,992889,1621404,547192,3544078,3868488,7412566
25,Cundinamarca,Agua de Dios,25001,2005,urbano,852,621,1145,802,846,727,1501,890,3420,3964,7384
25,Cundinamarca,Agua de Dios,25001,2005,rural,332,208,427,278,326,225,424,213,1245,1188,2433
25,Cundinamarca,Agua de Dios,25001,2005,total,1184,829,1572,1080,1172,952,1925,1103,4665,5152,9817
25,Cundinamarca,Agua de Dios,25001,2018,urbano,794,852,1536,1097,730,883,1865,1356,4279,4834,9113
25,Cundinamarca,Agua de Dios,25001,2018,rural,300,251,483,340,253,222,465,258,1374,1198,2572
25,Cundinamarca,Agua de Dios,25001,2018,total,1094,1103,2019,1437,983,1105,2330,1614,5653,6032,11685
25,Cundinamarca,Albán,25019,2005,urbano,189,157,177,63,224,162,251,69,586,706,1292
25,Cundinamarca,Albán,25019,2005,rural,665,393,697,308,636,398,683,230,2063,1947,4010
25,Cundinamarca,Albán,25019,2005,total,854,550,874,371,860,560,934,299,2649,2653,5302
25,Cundinamarca,Albán,25019,2018,urbano,175,248,307,99,187,234,334,131,829,886,1715
25,Cundinamarca,Albán,25019,2018,rural,544,568,852,515,488,502,832,422,2479,2244,4723
25,Cundinamarca,Albán,25019,2018,total,719,816,1159,614,675,736,1166,553,3308,3130,6438
25,Cundinamarca,Anapoima,25035,2005,urbano,475,312,534,248,447,350,627,310,1569,1734,3303
25,Cundinamarca,Anapoima,25035,2005,rural,1034,657,1266,579,925,617,1133,479,3536,3154,6690
